"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 10- 27","1,931.97","1,933.91","1,939.25","1,929.26","408.84M","0.33%"
"2014- 10- 24","1,925.69","1,942.46","1,942.72","1,916.84","419.43M","-0.31%"
"2014- 10- 23","1,931.65","1,932.43","1,944.45","1,924.14","372.83M","-0.27%"
"2014- 10- 22","1,936.97","1,936.91","1,936.99","1,924.21","399.10M","1.13%"
"2014- 10- 21","1,915.28","1,923.62","1,923.62","1,911.03","405.92M","-0.77%"
"2014- 10- 20","1,930.06","1,918.84","1,933.12","1,917.54","344.67M","1.55%"
"2014- 10- 17","1,900.66","1,923.51","1,923.51","1,896.54","362.08M","-0.95%"
"2014- 10- 16","1,918.83","1,911.45","1,922.94","1,904.77","313.61M","-0.37%"
"2014- 10- 15","1,925.91","1,932.11","1,938.85","1,918.77","310.34M","-0.17%"
"2014- 10- 14","1,929.25","1,933.45","1,940.21","1,926.87","335.51M","0.11%"
"2014- 10- 13","1,927.21","1,919.48","1,932.37","1,918.48","308.92M","-0.71%"
"2014- 10- 10","1,940.92","1,953.98","1,953.98","1,931.88","342.82M","-1.24%"
"2014- 10- 08","1,965.25","1,957.90","1,974.27","1,957.90","266.18M","-0.39%"
"2014- 10- 07","1,972.91","1,979.83","1,982.96","1,966.22","328.23M","0.23%"
"2014- 10- 06","1,968.39","1,987.89","1,988.39","1,968.30","325.08M","-0.39%"
"2014- 10- 02","1,976.16","1,984.43","1,985.06","1,966.17","322.66M","-0.77%"
"2014- 10- 01","1,991.54","2,013.47","2,013.47","1,989.84","351.58M","-1.41%"
"2014- 09- 30","2,020.09","2,023.18","2,029.17","2,007.30","322.81M","-0.32%"
"2014- 09- 29","2,026.60","2,035.93","2,036.44","2,021.37","339.59M","-0.25%"
"2014- 09- 26","2,031.64","2,019.17","2,031.65","2,018.70","313.52M","-0.12%"
"2014- 09- 25","2,034.11","2,045.66","2,046.26","2,030.09","325.38M","-0.08%"
"2014- 09- 24","2,035.64","2,024.75","2,036.26","2,019.91","332.59M","0.33%"
"2014- 09- 23","2,028.91","2,028.90","2,036.25","2,025.16","427.81M","-0.51%"
"2014- 09- 22","2,039.27","2,053.30","2,053.30","2,032.36","323.89M","-0.71%"
"2014- 09- 19","2,053.82","2,057.56","2,062.37","2,053.66","397.74M","0.30%"
"2014- 09- 18","2,047.74","2,058.21","2,063.26","2,044.17","394.27M","-0.72%"
"2014- 09- 17","2,062.61","2,052.06","2,062.62","2,051.11","351.67M","0.96%"
"2014- 09- 16","2,042.92","2,039.92","2,045.65","2,036.23","365.69M","0.35%"
"2014- 09- 15","2,035.82","2,039.03","2,040.08","2,028.80","297.61M","-0.30%"
"2014- 09- 12","2,041.86","2,042.51","2,048.21","2,037.37","362.67M","0.38%"
"2014- 09- 11","2,034.16","2,046.97","2,052.16","2,034.13","333.41M","-0.74%"
"2014- 09- 05","2,049.41","2,053.18","2,059.04","2,044.68","343.35M","-0.33%"
"2014- 09- 04","2,056.26","2,059.05","2,065.27","2,050.79","376.39M","0.25%"
"2014- 09- 03","2,051.20","2,050.09","2,054.08","2,040.44","337.97M","-0.02%"
"2014- 09- 02","2,051.58","2,065.97","2,066.00","2,049.15","323.12M","-0.79%"
"2014- 09- 01","2,067.86","2,067.80","2,072.59","2,062.30","272.47M","-0.03%"
"2014- 08- 29","2,068.54","2,070.73","2,073.03","2,060.14","301.37M","-0.35%"
"2014- 08- 28","2,075.76","2,083.03","2,088.86","2,072.14","305.88M","0.04%"
"2014- 08- 27","2,074.93","2,075.45","2,081.83","2,070.77","337.61M","0.33%"
"2014- 08- 26","2,068.05","2,069.07","2,072.42","2,065.15","288.91M","0.35%"
