weight,n_episodes,mean_mdd,median_mdd,worst_mdd,n_recovered,mean_recovery_days,median_recovery_days,pair,rebalance_freq
0.0,11,-0.030762935801768244,-0.015652990259574895,-0.2018735293259334,10,19.1,12.5,sp500,annual
0.2,11,-0.041259055456869496,-0.022914465852447274,-0.19361739709363124,11,142.0,31.0,sp500,annual
0.4,11,-0.08212046380330329,-0.0629789560431272,-0.2039975236403071,11,140.63636363636363,59.0,sp500,annual
0.6,11,-0.139188565214591,-0.10772475614782784,-0.3099159689184572,11,226.9090909090909,109.0,sp500,annual
0.8,11,-0.19349586865587473,-0.15188081488534066,-0.44736231228075773,11,350.72727272727275,112.0,sp500,annual
1.0,11,-0.2459787243614141,-0.1934721360278806,-0.5681115884222842,11,408.09090909090907,148.0,sp500,annual
0.0,11,-0.030762935801768244,-0.015652990259574895,-0.2018735293259334,10,19.1,12.5,sp500,none
0.2,11,-0.053856177568163056,-0.03935536389919225,-0.20181715911042453,11,114.72727272727273,34.0,sp500,none
0.4,11,-0.10590641967786124,-0.08531530987724667,-0.21915410906277133,11,181.9090909090909,77.0,sp500,none
0.6,11,-0.15973155499568376,-0.12969951088093779,-0.30270298742866153,11,309.0,119.0,sp500,none
0.8,11,-0.20536273207704706,-0.16669974978612878,-0.4418084551493642,11,372.54545454545456,116.0,sp500,none
1.0,11,-0.2459787243614141,-0.1934721360278806,-0.5681115884222842,11,408.09090909090907,148.0,sp500,none
0.0,12,-0.02723734748879722,-0.0064966667775016584,-0.16241966848465594,11,66.36363636363636,1.0,kospi,annual
0.2,12,-0.051642591073129,-0.029489383129708446,-0.19914066289478682,12,99.41666666666667,25.0,kospi,annual
0.4,12,-0.10292536958687289,-0.09194562943654339,-0.23413981534204453,12,169.33333333333334,84.5,kospi,annual
0.6,12,-0.16124714617431476,-0.13844173258487935,-0.32661665287797115,12,216.41666666666666,150.0,kospi,annual
0.8,12,-0.2176343347346689,-0.18656139272527095,-0.43717449803716124,12,340.25,151.5,kospi,annual
1.0,12,-0.2715001917541087,-0.23073295356877144,-0.5451179931942733,12,451.0,159.5,kospi,annual
0.0,12,-0.02723734748879722,-0.0064966667775016584,-0.16241966848465594,11,66.36363636363636,1.0,kospi,none
0.2,12,-0.0679573741114536,-0.04589946667307704,-0.21576817586405594,12,150.0,58.0,kospi,none
0.4,12,-0.12799961585764777,-0.12010807365488385,-0.30636245718900823,12,223.41666666666666,105.0,kospi,none
0.6,12,-0.18202294554775064,-0.16079604335211434,-0.4069022225920016,12,318.0833333333333,167.5,kospi,none
0.8,12,-0.229645784462449,-0.18849795660775448,-0.4845580242191456,12,355.8333333333333,154.0,kospi,none
1.0,12,-0.2715001917541087,-0.23073295356877144,-0.5451179931942733,12,451.0,159.5,kospi,none
