episode_id,equity_peak_date,equity_trough_date,equity_mdd,weight,portfolio_peak_date,portfolio_trough_date,portfolio_mdd,recovered,recovery_days,pair,rebalance_freq
0,1997-10-07,1997-10-27,-0.10793327999216507,1.0,1997-10-07,1997-10-27,-0.10793327999216507,True,39.0,sp500,annual
0,1997-10-07,1997-10-27,-0.10793327999216507,0.8,1997-10-07,1997-10-27,-0.08749936695037097,True,39.0,sp500,annual
0,1997-10-07,1997-10-27,-0.10793327999216507,0.6,1997-10-07,1997-10-27,-0.0654894871006324,True,37.0,sp500,annual
0,1997-10-07,1997-10-27,-0.10793327999216507,0.4,1997-10-07,1997-10-27,-0.04171400792678481,True,35.0,sp500,annual
0,1997-10-07,1997-10-27,-0.10793327999216507,0.2,1997-10-07,1997-10-17,-0.021241354415800773,True,31.0,sp500,annual
0,1997-10-07,1997-10-27,-0.10793327999216507,0.0,1997-10-07,1997-10-17,-0.015652990259574895,True,10.0,sp500,annual
1,1998-07-17,1998-08-31,-0.1934721360278806,1.0,1998-07-17,1998-08-31,-0.1934721360278806,True,84.0,sp500,annual
1,1998-07-17,1998-08-31,-0.1934721360278806,0.8,1998-07-17,1998-08-31,-0.15188081488534066,True,84.0,sp500,annual
1,1998-07-17,1998-08-31,-0.1934721360278806,0.6,1998-07-17,1998-08-31,-0.10772475614782784,True,79.0,sp500,annual
1,1998-07-17,1998-08-31,-0.1934721360278806,0.4,1998-07-17,1998-08-31,-0.06075917998796887,True,45.0,sp500,annual
1,1998-07-17,1998-08-31,-0.1934721360278806,0.2,1998-07-17,1998-08-04,-0.014430253457350828,True,21.0,sp500,annual
1,1998-07-17,1998-08-31,-0.1934721360278806,0.0,1998-07-17,1998-07-17,0.0,True,0.0,sp500,annual
2,1999-07-16,1999-10-15,-0.12072856324287484,1.0,1999-07-16,1999-10-15,-0.12072856324287484,True,32.0,sp500,annual
2,1999-07-16,1999-10-15,-0.12072856324287484,0.8,1999-07-16,1999-10-15,-0.10270871853949104,True,32.0,sp500,annual
2,1999-07-16,1999-10-15,-0.12072856324287484,0.6,1999-07-16,1999-10-15,-0.0833288093478074,True,32.0,sp500,annual
2,1999-07-16,1999-10-15,-0.12072856324287484,0.4,1999-07-16,1999-10-18,-0.0629789560431272,True,73.0,sp500,annual
2,1999-07-16,1999-10-15,-0.12072856324287484,0.2,1999-07-16,1999-08-10,-0.04696177970306237,True,219.0,sp500,annual
2,1999-07-16,1999-10-15,-0.12072856324287484,0.0,1999-07-16,1999-08-10,-0.03182628958195255,True,15.0,sp500,annual
3,2000-03-24,2002-10-09,-0.49172524536518436,1.0,2000-03-24,2002-10-09,-0.49172524536518436,True,1694.0,sp500,annual
3,2000-03-24,2002-10-09,-0.49172524536518436,0.8,2000-03-24,2002-07-23,-0.3563775932573463,True,1528.0,sp500,annual
3,2000-03-24,2002-10-09,-0.49172524536518436,0.6,2000-03-24,2002-07-23,-0.2193716265820269,True,547.0,sp500,annual
