full_n,full_period_r,full_period_p,pair,crisis_n,cutoff_return_pct,crisis_r,crisis_p,mean_bond_ret_on_crisis_days_pct
7637,-0.27976952801779864,2.4321337645238253e-137,sp500,386,-1.8199999999999994,-0.30960514281267887,5.085456824909759e-10,0.4556583489509599
5888,-0.039484289251822825,0.0024431228058423805,kospi,295,-2.1265000000000027,-0.04313532537905201,0.46047086958694655,0.20910022868608522
